City_ID,city,country,date,lat,lng,max_temp,humidity,cloudiness,wind_speed
207,Salta,AR,2021-01-19 03:14:32,-24.7859,-65.4117,64.4,77,0,2.3
208,Takaka,NZ,2021-01-19 03:18:29,-40.85,172.8,64.99,87,63,18.99
209,Bestobe,KZ,2021-01-19 03:18:30,52.4994,73.0975,-10.5,89,27,3.0
210,Carnarvon,AU,2021-01-19 03:18:30,-24.8667,113.6333,86.0,84,3,16.11
211,Kogon,UZ,2021-01-19 03:18:30,39.7228,64.5517,30.2,86,38,4.61
212,Krasnoselkup,RU,2021-01-19 03:18:30,65.7,82.4667,-15.32,89,100,2.33
213,Kuusamo,FI,2021-01-19 03:18:30,65.9667,29.1833,21.2,93,90,5.75
214,Zabaykalsk,RU,2021-01-19 03:18:30,49.6333,117.3167,-8.05,87,15,4.5
215,Bajitpur,BD,2021-01-19 03:18:30,24.2167,90.95,62.6,94,40,5.23
216,Basco,PH,2021-01-19 03:18:30,20.4487,121.9702,72.16,77,58,29.84
217,Tokmak,UA,2021-01-19 03:18:30,47.2514,35.7058,7.38,95,100,3.44
218,Port-Cartier,CA,2021-01-19 03:18:31,50.0334,-66.8654,17.01,73,96,19.57
219,Port Hedland,AU,2021-01-19 03:18:31,-20.3167,118.5667,100.4,32,12,12.66
220,Sao Jose Da Coroa Grande,BR,2021-01-19 03:18:31,-8.8978,-35.1478,77.04,82,1,8.37
221,Pangkalanbuun,ID,2021-01-19 03:18:31,-2.6833,111.6167,87.4,58,100,3.09
222,Jishou,CN,2021-01-19 03:18:31,28.3167,109.7167,53.91,44,0,2.04
223,Vardo,NO,2021-01-19 03:18:31,70.3705,31.1107,28.67,95,95,27.89
224,Asau,RO,2021-01-19 03:18:31,46.4333,26.4,1.99,92,40,1.14
225,Okmulgee,US,2021-01-19 03:18:31,35.6234,-95.9605,51.8,43,90,3.44
226,Mount Gambier,AU,2021-01-19 03:18:31,-37.8333,140.7667,69.8,40,0,18.41
227,Myski,RU,2021-01-19 03:18:32,53.709,87.8014,-0.94,91,17,3.56
228,Tigre,AR,2021-01-19 03:18:32,-34.426,-58.5796,73.0,73,0,8.61
229,Kirakira,SB,2021-01-19 03:18:32,-10.4544,161.9205,86.09,69,65,5.75
230,Vung Tau,VN,2021-01-19 03:18:32,10.346,107.0843,74.91,61,39,6.6
231,Nuziders,AT,2021-01-19 03:18:32,47.1667,9.8,24.01,86,100,6.4
232,Nizhniy Lomov,RU,2021-01-19 03:18:32,53.5304,43.6766,-5.76,92,100,2.51
233,Mollendo,PE,2021-01-19 03:18:32,-17.0231,-72.0147,70.61,77,69,6.02
234,Port Macquarie,AU,2021-01-19 03:18:32,-31.4333,152.9167,80.01,94,90,10.36
235,Zhigalovo,RU,2021-01-19 03:18:32,54.8097,105.1578,13.91,93,98,6.11
236,Puerto Suarez,BO,2021-01-19 03:18:33,-18.95,-57.8,65.19,93,100,1.9
237,San Ignacio,BZ,2021-01-19 03:18:33,17.1561,-89.0714,69.01,88,75,3.2
238,Thabazimbi,ZA,2021-01-19 03:18:33,-24.5917,27.4116,61.0,94,100,4.52
239,Bilibino,RU,2021-01-19 03:18:33,68.0546,166.4372,-34.15,77,1,1.72
240,Manzil Salim,TN,2021-01-19 03:18:33,35.8567,8.4765,30.2,86,0,3.44
241,Alofi,NU,2021-01-19 03:18:33,-19.0595,-169.9187,87.8,66,75,8.05
242,Harper,LR,2021-01-19 03:18:33,4.375,-7.7169,78.15,82,8,4.99
243,Moncao,PT,2021-01-19 03:18:34,42.0789,-8.4808,51.01,87,0,11.5
244,Meadow Lake,US,2021-01-19 03:18:34,34.8014,-106.5436,45.0,42,75,24.16
245,Ostrovnoy,RU,2021-01-19 03:18:34,68.0531,39.5131,18.52,96,93,11.01
246,Touros,BR,2021-01-19 03:18:34,-5.1989,-35.4608,78.8,78,40,9.22
247,Tromso,NO,2021-01-19 03:18:34,69.6496,18.957,23.0,93,0,5.75
248,Smithers,CA,2021-01-19 03:16:18,54.7804,-127.1743,30.2,86,90,6.91
249,Awjilah,LY,2021-01-19 03:18:34,29.1081,21.2869,49.69,50,0,11.61
