City_ID,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date,description
378,Kolokani,13.5728,-8.0339,69.78,21,100,11.5,ML,2021-01-22 01:01:38,overcast clouds
379,Araouane,18.9048,-3.5265,62.98,23,20,12.93,ML,2021-01-22 01:01:38,few clouds
380,Corrente,-3.7367,-43.3394,73.22,97,100,2.42,BR,2021-01-22 01:01:38,overcast clouds
381,Sabla,12.7525,4.7077,66.83,23,0,14.47,NG,2021-01-22 01:01:38,clear sky
382,Sao Joao Da Barra,-21.6403,-41.0511,75.76,86,2,7.81,BR,2021-01-22 01:01:39,clear sky
383,Muros,42.7762,-9.0603,53.01,79,100,5.99,ES,2021-01-22 01:01:39,light rain
384,Joensuu,62.6012,29.7632,12.0,85,90,18.41,FI,2021-01-22 01:01:39,snow
385,Hualmay,-11.0964,-77.6139,70.86,80,68,9.91,PE,2021-01-22 01:01:39,broken clouds
386,Mpika,-11.8343,31.4529,61.68,98,100,5.59,ZM,2021-01-22 01:01:39,light rain
387,Haines Junction,60.7522,-137.5108,-4.0,84,0,0.51,CA,2021-01-22 01:01:39,clear sky
388,Tura,25.5198,90.2201,54.64,65,0,3.22,IN,2021-01-22 01:01:40,clear sky
389,Nelson Bay,-32.7167,152.15,87.01,54,20,9.22,AU,2021-01-22 01:01:40,few clouds
390,Alofi,-19.0595,-169.9187,86.0,74,0,10.36,NU,2021-01-22 01:00:45,clear sky
391,Portland,45.5234,-122.6762,46.4,70,75,3.44,US,2021-01-22 01:01:40,broken clouds
392,Zuenoula,7.4292,-6.0431,73.83,78,0,4.5,CI,2021-01-22 01:01:40,clear sky
