City_ID,city,country,max_temp,description,lat,lng,Hotel Name
593,Talcahuano,CL,57.2,broken clouds,-36.7167,-73.1167,Hotel Terramar
599,Laguna,US,60.01,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
600,Cascais,PT,60.01,overcast clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
607,Khandbari,NP,47.59,clear sky,27.3747,87.2039,Sainik Hotel And Lodge
611,Fuling,CN,47.43,overcast clouds,29.7022,107.3919,Yingbin Hostel
621,Lerwick,GB,41.0,broken clouds,60.1545,-1.1494,The Lerwick Hotel
625,Virginia Beach,US,46.99,few clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
634,Requena,ES,62.6,broken clouds,39.4883,-1.1004,Hotel Avenida
640,Jati,PK,63.57,clear sky,24.3539,68.2671,
641,Nichinan,JP,59.0,scattered clouds,31.6,131.3667,Guest House Aki
645,Arroyo Grande,US,59.0,clear sky,35.1186,-120.5907,Premier Inns Pismo Beach
646,Sur,OM,68.79,clear sky,22.5667,59.5289,Sur Plaza Hotel
648,North Bend,US,52.0,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
649,Plettenberg Bay,ZA,69.67,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
653,Rayadrug,IN,68.47,clear sky,14.7,76.8667,Mali arts
655,Ippy,CF,69.46,scattered clouds,6.2679,21.2247,
656,Aranda De Duero,ES,43.34,overcast clouds,41.6704,-3.6892,Hotel Villa De Aranda
660,Chuzhou,CN,48.0,light rain,32.3219,118.2978,GreenTree Inn Chuzhou Langya Mountain Scenic Area Xijian Road Business Hotel
663,Mount Gambier,AU,69.8,overcast clouds,-37.8333,140.7667,Commodore on the Park
670,Divnomorskoye,RU,46.0,scattered clouds,44.5011,38.1353,Primorskiy
671,Celendin,PE,55.11,light rain,-6.8703,-78.1517,Villa Madrid
672,Bangassou,CF,65.71,broken clouds,4.7413,22.8184,
677,Madison,US,46.0,mist,34.7334,-86.5667,Embassy Suites by Hilton Huntsville Hotel & Spa
678,Payson,US,43.0,clear sky,40.0444,-111.7321,Quality Inn Payson I-15
